Route-Key,Predecessor-Curvature,Predecessor-Elevation,Predecessor-SpeedLimit,Predecessor-LaneNum,Junction-Curvature,Junction-ConnectedRoad,Successor-Curvature,Successor-Elevation,Successor-SpeedLimit,Successor-LaneNum,NumberOfLanes
021442,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,100,LEFT_CURVATURE,FLAT,NORMAL,010,5
422402,LEFT_CURVATURE,FLAT,NORMAL,010,RIGHT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,1
102382,STRAIGHT,DOWNHILL,NORMAL,000,RIGHT_CURVATURE,011,RIGHT_CURVATURE,FLAT,NORMAL,010,1
020302,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,6
821482,RIGHT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,100,RIGHT_CURVATURE,FLAT,NORMAL,010,1
822402,RIGHT_CURVATURE,FLAT,NORMAL,010,RIGHT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,5
102302,STRAIGHT,DOWNHILL,NORMAL,000,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,3
022442,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,100,LEFT_CURVATURE,FLAT,NORMAL,010,2
421402,LEFT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,2
100202,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,010,STRAIGHT,FLAT,NORMAL,010,2
821402,RIGHT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,2
020382,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,RIGHT_CURVATURE,FLAT,NORMAL,010,2
022302,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,6
820402,RIGHT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,100,STRAIGHT,FLAT,NORMAL,010,3
023442,STRAIGHT,FLAT,NORMAL,010,COMPLEX_CURVATURE,100,LEFT_CURVATURE,FLAT,NORMAL,010,1
020202,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,010,STRAIGHT,FLAT,NORMAL,010,2
420402,LEFT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,100,STRAIGHT,FLAT,NORMAL,010,1
020482,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,100,RIGHT_CURVATURE,FLAT,NORMAL,010,1
022310,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,DOWNHILL,NORMAL,000,3
200310,STRAIGHT,UPHILL,NORMAL,000,STRAIGHT,011,STRAIGHT,DOWNHILL,NORMAL,000,8
420442,LEFT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,100,LEFT_CURVATURE,FLAT,NORMAL,010,1
100330,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,011,STRAIGHT,COMPLEX_HILL,NORMAL,000,8
421302,LEFT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,2
821442,RIGHT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,100,LEFT_CURVATURE,FLAT,NORMAL,010,1
420302,LEFT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,2
300310,STRAIGHT,COMPLEX_HILL,NORMAL,000,STRAIGHT,011,STRAIGHT,DOWNHILL,NORMAL,000,8
022402,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,24
021482,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,100,RIGHT_CURVATURE,FLAT,NORMAL,010,1
100210,STRAIGHT,DOWNHILL,NORMAL,000,STRAIGHT,010,STRAIGHT,DOWNHILL,NORMAL,000,16
0a2310,STRAIGHT,FLAT,HIGH,010,RIGHT_CURVATURE,011,STRAIGHT,DOWNHILL,NORMAL,000,1
190310,STRAIGHT,DOWNHILL,HIGH,001,STRAIGHT,011,STRAIGHT,DOWNHILL,NORMAL,000,2
0a1330,STRAIGHT,FLAT,HIGH,010,LEFT_CURVATURE,011,STRAIGHT,COMPLEX_HILL,NORMAL,000,4
